tariff_AB,tariff_BA,utility_A,utility_B,cvar_A,cvar_B,symmetric
0.0,0.0,9.77384942000642,9.77933245060507,7.716068917108753,7.6379851679153425,1
0.0,0.05,9.778135348277141,9.769751136749504,7.7519649697108335,7.643988645278697,0
0.0,0.1,9.781533786603589,9.764915074294793,7.812631368415384,7.689199851661902,0
0.0,0.15000000000000002,9.779778577712081,9.75908114316588,7.83064688219244,7.714059290989776,0
0.0,0.2,9.774220733981489,9.752200168249182,7.794589486043765,7.703917578609156,0
0.0,0.25,9.769876139700918,9.748500038298197,7.8020070015089225,7.7428410019353455,0
0.0,0.30000000000000004,9.763910208171913,9.744461685171123,7.758802041082072,7.731970087935586,0
0.0,0.35000000000000003,9.757769324817964,9.741060686902085,7.725297308455946,7.727249516277165,0
0.0,0.4,9.751945265106455,9.738595720432153,7.728554194137276,7.755362687214676,0
0.0,0.45,9.744061967079691,9.734119809596764,7.671936484769109,7.7225580548088555,0
0.0,0.5,9.740104787025311,9.733893147989164,7.683237901849474,7.753537612132989,0
0.0,0.55,9.734865675896293,9.732109532625097,7.661694697253253,7.749715925050076,0
0.0,0.6000000000000001,9.731029004048406,9.731607703884343,7.63966693773818,7.74236306035936,0
0.0,0.65,9.726254838685948,9.730385996857748,7.643143232316473,7.76041426270701,0
0.0,0.7000000000000001,9.720516081698053,9.727909006136395,7.631665663469394,7.760938018240811,0
0.0,0.75,9.71439952561691,9.72478469965479,7.5698432459472516,7.708138206438186,0
0.0,0.8,9.711739699127222,9.724813962849439,7.578419723726775,7.726462060647095,0
0.0,0.8500000000000001,9.7106918004338,9.726589472685914,7.611446272490585,7.768573134852972,0
0.0,0.9,9.704429194617251,9.722712357590538,7.554588164641629,7.717893923520523,0
0.0,0.9500000000000001,9.703128302087647,9.723698457193322,7.565857387063168,7.73584907701224,0
0.0,1.0,9.700952814161983,9.723576081448474,7.573896202809037,7.750376297554581,0
0.05,0.0,9.771024947499559,9.785102411620414,7.71468612053617,7.6253941342151705,0
0.05,0.05,9.774682176274668,9.774768219633211,7.720388549726242,7.600385505685164,1
0.05,0.1,9.77519038624787,9.767221956030129,7.752690774460045,7.61097072318531,0
0.05,0.15000000000000002,9.772760393859082,9.760812390614777,7.778090240823893,7.629159116607302,0
0.05,0.2,9.771431557222918,9.758202117420007,7.812996722699651,7.67414127960071,0
0.05,0.25,9.766247077195969,9.753736236431278,7.800016740123523,7.684309607249226,0
0.05,0.30000000000000004,9.759326668347951,9.74882570027596,7.753575809169258,7.667065375077183,0
0.05,0.35000000000000003,9.75560930866359,9.748224993245898,7.770720726590139,7.713542610584463,0
0.05,0.4,9.750727864259032,9.7465904736659,7.76832756826125,7.737424977017528,0
0.05,0.45,9.742206619773926,9.741654508579982,7.699366599147881,7.691887495658626,0
0.05,0.5,9.737424743994229,9.740789339544927,7.704534229782302,7.719510221388643,0
0.05,0.55,9.731380357530153,9.738618667097645,7.6887868609719305,7.722748663661804,0
0.05,0.6000000000000001,9.728333675262304,9.739006318291677,7.700405418974375,7.751647420987209,0
0.05,0.65,9.722022252166381,9.736414957502781,7.671070431417119,7.737653415300387,0
0.05,0.7000000000000001,9.717806639641816,9.73543132829106,7.655971960769516,7.735965233732554,0
0.05,0.75,9.714652352023094,9.73521018130186,7.662451250600886,7.754624733404474,0
0.05,0.8,9.710273004439674,9.733848144588446,7.641893999468929,7.7451977142473405,0
0.05,0.8500000000000001,9.705482675509732,9.731872329899597,7.617676486399488,7.730118300154708,0
0.05,0.9,9.70422329650472,9.733264914947966,7.648657342091534,7.771595022379364,0
0.05,0.9500000000000001,9.701230420228873,9.732697563391318,7.630180038809712,7.760390437991048,0
0.05,1.0,9.698606922130278,9.731901863300545,7.622942129069213,7.7604990084396945,0
0.1,0.0,9.766718258298136,9.785751272177338,7.660721315801078,7.558762314474909,0
0.1,0.05,9.77186292167721,9.77690400950696,7.708693433855435,7.574748954877476,0
0.1,0.1,9.77519233797935,9.771892700616325,7.785359493589129,7.627947499043121,1
0.1,0.15000000000000002,9.770722233449481,9.763398463277587,7.76667368715137,7.595055537892688,0
0.1,0.2,9.771650734204446,9.76321653300114,7.854453570278651,7.681190583191108,0
0.1,0.25,9.763365554469846,9.755792860886892,7.810506726674495,7.649560520867721,0
0.1,0.30000000000000004,9.759567858628264,9.754300288218696,7.817653298696543,7.680156431415794,0
0.1,0.35000000000000003,9.75326330623825,9.750974191371087,7.798052565268714,7.686725454932943,0
0.1,0.4,9.744994420472613,9.746420695386577,7.752216525850127,7.6656662832934295,0
0.1,0.45,9.740673845924775,9.745677952847428,7.749287228505192,7.68601948778768,0
0.1,0.5,9.735247415832127,9.744660191329684,7.738408491655029,7.698795877684961,0
0.1,0.55,9.729475342498707,9.742413823217783,7.7328347342561,7.711834045291733,0
0.1,0.6000000000000001,9.724165883401417,9.74089891485585,7.704107598220801,7.7005142509525655,0
0.1,0.65,9.720403568600359,9.740667518609262,7.711050623629879,7.722956408534597,0
0.1,0.7000000000000001,9.716899713285551,9.740532294799939,7.70641437199318,7.732591128673622,0
0.1,0.75,9.712091930008791,9.739222481915325,7.701446786386988,7.741412395237975,0
0.1,0.8,9.706956562201562,9.736970398083717,7.664349859574408,7.714523226931469,0
0.1,0.8500000000000001,9.70490216404218,9.737688781030634,7.680818881243533,7.741069497335363,0
0.1,0.9,9.701169064009314,9.736636062928309,7.66796423355182,7.737517268065697,0
0.1,0.9500000000000001,9.695508288845527,9.733500990635228,7.623826251903976,7.700948332127054,0
0.1,1.0,9.694881671384447,9.734884732042712,7.647501640110242,7.731976713634592,0
0.15000000000000002,0.0,9.763804442479708,9.78546417048312,7.644379423687591,7.52831518633171,0
0.15000000000000002,0.05,9.771473998142694,9.778961700635886,7.739069507672358,7.589830631463961,0
0.15000000000000002,0.1,9.770690206279136,9.769769369071028,7.729465280914934,7.5579969431241105,0
0.15000000000000002,0.15000000000000002,9.769271568846555,9.764291329175803,7.761867158760623,7.574070979794487,1
0.15000000000000002,0.2,9.766474500723188,9.760381455680339,7.799388289814619,7.603298023051066,0
0.15000000000000002,0.25,9.760882553301851,9.755896418579049,7.8080269637409865,7.615314236768148,0
0.15000000000000002,0.30000000000000004,9.758799915805644,9.755803698357145,7.857084068124334,7.676756533722016,0
0.15000000000000002,0.35000000000000003,9.750206043566077,9.750507128223793,7.800094794703913,7.6413508887760875,0
0.15000000000000002,0.4,9.742640060161353,9.74639876883472,7.742596313448538,7.606458647583089,0
0.15000000000000002,0.45,9.736037658336981,9.743842125838883,7.725953198780345,7.614611287489643,0
0.15000000000000002,0.5,9.731308579158647,9.742956571730467,7.730935681467608,7.639363976452848,0
0.15000000000000002,0.55,9.727020632578146,9.74275117321065,7.726198598890563,7.654906759354597,0
0.15000000000000002,0.6000000000000001,9.721930404836137,9.741706158586558,7.743269058283385,7.689126677917124,0
0.15000000000000002,0.65,9.71539533388814,9.738682684010136,7.682550638743282,7.644541076581237,0
0.15000000000000002,0.7000000000000001,9.713206434366553,9.739837866929447,7.712100409531002,7.687175233553008,0
0.15000000000000002,0.75,9.709896258592142,9.740076808997884,7.714875069834916,7.704220547696541,0
0.15000000000000002,0.8,9.703220659594635,9.736325542892368,7.668351566871264,7.667488504767225,0
0.15000000000000002,0.8500000000000001,9.700242042748497,9.736188532773417,7.670722393203102,7.679924843352253,0
0.15000000000000002,0.9,9.696642478402257,9.735271657768479,7.649483639176308,7.668813414273663,0
0.15000000000000002,0.9500000000000001,9.694194291639661,9.735229834403537,7.651260049455732,7.678065876282762,0
0.15000000000000002,1.0,9.689750255630187,9.732992610667381,7.6109549894033,7.644323247536323,0
0.2,0.0,9.7581979308361,9.780702109436593,7.572446866279369,7.441687561631065,0
0.2,0.05,9.766327317972161,9.774422189508325,7.648241618098593,7.487055426041655,0
0.2,0.1,9.767803433189405,9.767608957636181,7.692099766799489,7.507058921878139,0
